adjuster_id,cluster_id,skill_business,skill_personal,will_travel,home_city,home_state,home_lat,home_lon,claims,onsite_claims,online_claims,has_onsite
53820765,13,5,5,True,Buffalo,NY,42.8864163,-78.8781493,47,42,5,True
55188485,13,5,5,True,Washington,DC,38.8950982,-77.0363849,47,42,5,True
55323900,13,5,5,True,Chantilly,VA,38.885219,-77.4486772,47,42,5,True
59321509,15,5,5,True,Brookfield,WI,43.0615578,-88.1260678,134,94,40,True
63175059,15,5,5,True,Naperville,IL,41.7728699,-88.1479278,134,94,40,True
63418508,15,5,5,True,Melville,LA,30.6929653,-91.744004,134,94,40,True
68291074,15,5,5,True,Naperville,IL,41.7728699,-88.1479278,134,94,40,True
69379844,3,5,5,True,Chantilly,VA,38.885219,-77.4486772,44,38,6,True
84017238,5,5,5,True,Rochester,NY,43.157285,-77.615214,52,44,8,True
93750751,5,5,5,True,Chantilly,VA,38.885219,-77.4486772,52,44,8,True
95771836,7,5,5,True,Rochester,NY,43.157285,-77.615214,87,80,7,True
95870867,8,5,5,True,Virtual,SC,34.1718723,-82.1564776,81,56,25,True
97120688,8,5,5,True,Naperville,IL,41.7728699,-88.1479278,81,56,25,True
17621023,0,3,4,True,Alpharetta,GA,34.0755962,-84.2945964,202,140,62,True
18407947,0,3,4,True,Oklahoma City,OK,35.4729886,-97.5170536,202,140,62,True
30456597,1,3,4,True,Memphis,TN,35.1460249,-90.0517638,72,65,7,True
31104564,1,3,4,True,Alpharetta,GA,34.0755962,-84.2945964,72,65,7,True
33519700,10,3,4,True,Flowood,MS,32.3092861,-90.1386811,49,43,6,True
37113544,10,3,4,True,Overland Park,KS,38.9742502,-94.6851702,49,43,6,True
38397433,10,3,4,True,Overland Park,KS,38.9742502,-94.6851702,49,43,6,True
42270197,15,3,4,True,San Antonio,TX,29.4246002,-98.4951405,134,94,40,True
42879523,15,3,4,True,Spokane,WA,47.6571934,-117.42351,134,94,40,True
49546630,17,3,4,True,Alpharetta,GA,34.0755962,-84.2945964,28,25,3,True
54333554,17,3,4,True,Naperville,IL,41.7728699,-88.1479278,28,25,3,True
54636222,18,3,4,True,Orlando,FL,28.5421218,-81.379045,7,7,0,True
54887810,2,3,4,True,Windsor,CA,38.5471327,-122.8163802,54,47,7,True
61662948,2,3,4,True,Maryland Heights,MO,38.7150511,-90.435999,54,47,7,True
63932904,3,3,4,True,Buffalo,NY,42.8864163,-78.8781493,44,38,6,True
70275620,3,3,4,True,Hartford,CT,41.764582,-72.6908547,44,38,6,True
81396769,3,3,4,True,Maryland Heights,MO,38.7150511,-90.435999,44,38,6,True
